,"('BTC', 'BTC')","('ETH', 'ETH')","('BNB', 'BNB')","('XRP', 'XRP')","('SOL', 'SOL')","('DOGE', 'DOGE')","('ADA', 'ADA')","('AVAX', 'AVAX')","('TRX', 'TRX')","('DOT', 'DOT')","('MATIC', 'MATIC')","('LINK', 'LINK')","('NEAR', 'NEAR')","('OP', 'OP')","('ARB', 'ARB')","('APT', 'APT')","('STX', 'STX')","('ICP', 'ICP')"
2015-06-12,229.98199462890625,,,,,,,,,,,,,,,,,
2015-06-13,232.40199279785156,,,,,,,,,,,,,,,,,
2015-06-14,233.54299926757812,,,,,,,,,,,,,,,,,
2015-06-15,236.822998046875,,,,,,,,,,,,,,,,,
2015-06-16,250.89500427246097,,,,,,,,,,,,,,,,,
2015-06-17,249.28399658203125,,,,,,,,,,,,,,,,,
2015-06-18,249.0070037841797,,,,,,,,,,,,,,,,,
2015-06-19,244.6060028076172,,,,,,,,,,,,,,,,,
2015-06-20,245.2120056152344,,,,,,,,,,,,,,,,,
2015-06-21,243.94400024414065,,,,,,,,,,,,,,,,,
2015-06-22,246.9900054931641,,,,,,,,,,,,,,,,,
2015-06-23,244.29600524902344,,,,,,,,,,,,,,,,,
2015-06-24,240.51499938964844,,,,,,,,,,,,,,,,,
2015-06-25,242.7989959716797,,,,,,,,,,,,,,,,,
2015-06-26,243.593994140625,,,,,,,,,,,,,,,,,
2015-06-27,250.9900054931641,,,,,,,,,,,,,,,,,
2015-06-28,249.0110015869141,,,,,,,,,,,,,,,,,
2015-06-29,257.0639953613281,,,,,,,,,,,,,,,,,
2015-06-30,263.0719909667969,,,,,,,,,,,,,,,,,
2015-07-01,258.6210021972656,,,,,,,,,,,,,,,,,
2015-07-02,255.41200256347656,,,,,,,,,,,,,,,,,
2015-07-03,256.33599853515625,,,,,,,,,,,,,,,,,
2015-07-04,260.885986328125,,,,,,,,,,,,,,,,,
2015-07-05,271.9129943847656,,,,,,,,,,,,,,,,,
2015-07-06,269.0299987792969,,,,,,,,,,,,,,,,,
2015-07-07,266.2070007324219,,,,,,,,,,,,,,,,,
2015-07-08,270.7850036621094,,,,,,,,,,,,,,,,,
2015-07-09,269.2279968261719,,,,,,,,,,,,,,,,,
2015-07-10,284.8940124511719,,,,,,,,,,,,,,,,,
2015-07-11,293.114990234375,,,,,,,,,,,,,,,,,
2015-07-12,310.86700439453125,,,,,,,,,,,,,,,,,
2015-07-13,292.0539855957031,,,,,,,,,,,,,,,,,
2015-07-14,287.4639892578125,,,,,,,,,,,,,,,,,
2015-07-15,285.8290100097656,,,,,,,,,,,,,,,,,
2015-07-16,278.0889892578125,,,,,,,,,,,,,,,,,
2015-07-17,279.47198486328125,,,,,,,,,,,,,,,,,
2015-07-18,274.9010009765625,,,,,,,,,,,,,,,,,
2015-07-19,273.614013671875,,,,,,,,,,,,,,,,,
2015-07-20,278.9809875488281,,,,,,,,,,,,,,,,,
2015-07-21,275.8330078125,,,,,,,,,,,,,,,,,
2015-07-22,277.22198486328125,,,,,,,,,,,,,,,,,
2015-07-23,276.04901123046875,,,,,,,,,,,,,,,,,
2015-07-24,288.27801513671875,,,,,,,,,,,,,,,,,
2015-07-25,288.6969909667969,,,,,,,,,,,,,,,,,
2015-07-26,292.6860046386719,,,,,,,,,,,,,,,,,
2015-07-27,293.6239929199219,,,,,,,,,,,,,,,,,
2015-07-28,294.427001953125,,,,,,,,,,,,,,,,,
2015-07-29,289.5899963378906,,,,,,,,,,,,,,,,,
2015-07-30,287.72198486328125,,,,,,,,,,,,,,,,,
2015-07-31,284.6499938964844,,,,,,,,,,,,,,,,,
2015-08-01,281.60101318359375,,,,,,,,,,,,,,,,,
2015-08-02,282.614013671875,,,,,,,,,,,,,,,,,
2015-08-03,281.22698974609375,,,,,,,,,,,,,,,,,
2015-08-04,285.2179870605469,,,,,,,,,,,,,,,,,
2015-08-05,281.8819885253906,,,,,,,,,,,,,,,,,
2015-08-06,278.5769958496094,,,,,,,,,,,,,,,,,
2015-08-07,279.5849914550781,,,,,,,,,,,,,,,,,
2015-08-08,260.99700927734375,,,,,,,,,,,,,,,,,
2015-08-09,265.0830078125,,,,,,,,,,,,,,,,,
2015-08-10,264.4700012207031,,,,,,,,,,,,,,,,,
2015-08-11,270.385986328125,,,,,,,,,,,,,,,,,
2015-08-12,266.3760070800781,,,,,,,,,,,,,,,,,
2015-08-13,264.0799865722656,,,,,,,,,,,,,,,,,
2015-08-14,265.67999267578125,,,,,,,,,,,,,,,,,
2015-08-15,261.5509948730469,,,,,,,,,,,,,,,,,
2015-08-16,258.5069885253906,,,,,,,,,,,,,,,,,
2015-08-17,257.97601318359375,,,,,,,,,,,,,,,,,
2015-08-18,211.07899475097656,,,,,,,,,,,,,,,,,
2015-08-19,226.6840057373047,,,,,,,,,,,,,,,,,
2015-08-20,235.3500061035156,,,,,,,,,,,,,,,,,
2015-08-21,232.56900024414065,,,,,,,,,,,,,,,,,
2015-08-22,230.38999938964844,,,,,,,,,,,,,,,,,
2015-08-23,228.16900634765625,,,,,,,,,,,,,,,,,
2015-08-24,210.4949951171875,,,,,,,,,,,,,,,,,
2015-08-25,221.60899353027344,,,,,,,,,,,,,,,,,
2015-08-26,225.83099365234375,,,,,,,,,,,,,,,,,
2015-08-27,224.7689971923828,,,,,,,,,,,,,,,,,
2015-08-28,231.39599609375,,,,,,,,,,,,,,,,,
2015-08-29,229.77999877929688,,,,,,,,,,,,,,,,,
2015-08-30,228.7610015869141,,,,,,,,,,,,,,,,,
2015-08-31,230.05599975585935,,,,,,,,,,,,,,,,,
2015-09-01,228.1210021972656,,,,,,,,,,,,,,,,,
2015-09-02,229.28399658203125,,,,,,,,,,,,,,,,,
2015-09-03,227.18299865722656,,,,,,,,,,,,,,,,,
2015-09-04,230.29800415039065,,,,,,,,,,,,,,,,,
2015-09-05,235.0189971923828,,,,,,,,,,,,,,,,,
2015-09-06,239.83999633789065,,,,,,,,,,,,,,,,,
2015-09-07,239.8470001220703,,,,,,,,,,,,,,,,,
2015-09-08,243.60699462890625,,,,,,,,,,,,,,,,,
2015-09-09,238.16799926757812,,,,,,,,,,,,,,,,,
2015-09-10,238.4770050048828,,,,,,,,,,,,,,,,,
2015-09-11,240.10699462890625,,,,,,,,,,,,,,,,,
2015-09-12,235.22900390625,,,,,,,,,,,,,,,,,
2015-09-13,230.51199340820312,,,,,,,,,,,,,,,,,
2015-09-14,230.6439971923828,,,,,,,,,,,,,,,,,
2015-09-15,230.3040008544922,,,,,,,,,,,,,,,,,
2015-09-16,229.09100341796875,,,,,,,,,,,,,,,,,
2015-09-17,229.80999755859375,,,,,,,,,,,,,,,,,
2015-09-18,232.9750061035156,,,,,,,,,,,,,,,,,
2015-09-19,231.4929962158203,,,,,,,,,,,,,,,,,
2015-09-20,231.2120056152344,,,,,,,,,,,,,,,,,
2015-09-21,227.0850067138672,,,,,,,,,,,,,,,,,
2015-09-22,230.6179962158203,,,,,,,,,,,,,,,,,
2015-09-23,230.2830047607422,,,,,,,,,,,,,,,,,
